gap_metric,macro_variable,n_windows,spearman_rho,spearman_p,pearson_r,pearson_p
type1_gap,mean_vix,204,0.6854867094020115,1.1780288380621679e-29,0.6003710086123603,2.292195365426597e-21
type1_gap,peak_vix,204,0.414115298909858,7.410674747127039e-10,0.4238966236322128,2.6552288466222515e-10
type1_gap,mean_realized_vol,204,0.7272731127774911,7.364430272265127e-35,0.5787844976058871,1.2235681001577716e-19
type1_gap,peak_realized_vol,204,0.5991763182562205,2.879202352214139e-21,0.4784564983232803,4.560297503188327e-13
type2_gap,mean_vix,204,0.16883193984069658,0.015781100353878964,0.11614554009798907,0.09806656814651586
type2_gap,peak_vix,204,0.40835798872624557,1.3353812649256205e-09,0.19829913564560955,0.00446681304001733
type2_gap,mean_realized_vol,204,0.12830356701132933,0.06742253498392359,0.11705152960026237,0.09545606924770228
type2_gap,peak_realized_vol,204,0.23064496651409272,0.000903764182595498,0.1272553458128397,0.06971123835085623
sign_inversion_pct,mean_vix,204,-0.8573817415948718,3.5115204246031845e-60,-0.7838736190729402,1.1127903290716263e-43
sign_inversion_pct,peak_vix,204,-0.638586017202873,9.127717375627774e-25,-0.6182459614578026,6.727211426515589e-23
sign_inversion_pct,mean_realized_vol,204,-0.8727834279212106,7.714592273092722e-65,-0.7694925434004564,3.3494484791647113e-41
sign_inversion_pct,peak_realized_vol,204,-0.7931808103662169,2.1818001691219945e-45,-0.6382072619131024,9.917861059984173e-25
